file,type,length,modification,result,match,
005936,Acoustic,15,original,Success,None,
005940,Accoustic,15,original,Success,None,
006329,International,15,original,Success,None,
006330,International,15,original,Success,None,
006331,International,15,original,Success,None,
006332,International,15,original,Success,None,
006333,International,15,original,Success,None,
006342,International,15,original,Success,None,
006354,International,15,original,Success,None,
006357,International,15,original,Success,None,
006358,International,15,original,Success,None,
006360,International,15,original,Success,None,
006363,International,15,original,Success,None,
006366,International,15,original,Success,None,
006367,International,15,original,Success,None,
006368,International,15,original,Success,None,
006370,International,15,original,Success,None,
006372,International,15,original,Success,None,
006373,International,15,original,Success,None,
006376,International,15,original,Success,None,
006379,International,15,original,Success,None,
006380,International,15,original,Success,None,
006381,International,15,original,Success,None,
006382,International,15,original,Success,None,
006383,International,15,original,Success,None,
006385,International,15,original,Success,None,
006387,International,15,original,Success,None,
006389,International,15,original,Success,None,
006390,International,15,original,Success,None,
006393,International,15,original,Success,None,
006394,International,15,original,Success,None,
006396,International,15,original,Success,None,
006406,Psych-Folk,15,original,Success,None,
006407,Psych-Folk,15,original,Success,None,
006439,Hip-Hop,15,original,Success,None,
006440,Hip-Hop,15,original,Success,None,
006442,Hip-Hop,15,original,Success,None,
006443,Hip-Hop,15,original,Success,None,
006448,Hip-Hop,15,original,Success,None,
006459,International,15,original,Success,None,
006461,Folk,15,original,Success,None,
006463,Folk,15,original,Success,None,
006467,Folk,15,original,Success,None,
006469,International,15,original,Success,None,
006517,Rock,15,original,Success,None,
006519,Rock,15,original,Success,None,
006603,Hip-Hop,15,original,Success,None,
006605,Hip-Hop,15,original,Success,None,
006606,Hip-Hop,15,original,Success,None,
006607,Hip-Hop,15,original,Success,None,
006608,Hip-Hop,15,original,Success,None,
006609,Hip-Hop,15,original,Success,None,
006610,Hip-Hop,15,original,Success,None,
006611,Hip-Hop,15,original,Success,None,
006674,Noise,15,original,Success,None,
006675,Noise,15,original,Success,None,
006677,Noise,15,original,Success,None,
006679,Noise,15,original,Success,None,
006680,Noise,15,original,Success,None,
006684,Noise,15,original,Success,None,
006762,Folk,15,original,Success,None,
006776,Death-Metal,15,original,Success,None,
006778,Death-Metal,15,original,Success,None,
006779,Folk,15,original,Success,None,
006782,Folk,15,original,Success,None,
006783,Folk,15,original,Success,None,
006788,Other,15,original,Success,None,
006802,International,15,original,Success,None,
006803,International,15,original,Success,None,
006854,Folk,15,original,Success,None,
006855,Folk,15,original,Success,None,
006856,Folk,15,original,Success,None,
006857,Psych-Folk,15,original,Success,None,
007011,Electronic,15,original,Success,None,
007373,Audio Collage,15,original,Success,None,
007374,Audio Collage,15,original,Success,None,
007375,Audio Collage,15,original,Success,None,
007376,Audio Collage,15,original,Success,None,
007377,Audio Collage,15,original,Success,None,
007378,Audio Collage,15,original,Success,None,
007379,Audio Collage,15,original,Success,None,
007381,Audio Collage,15,original,Success,None,
007383,Audio Collage,15,original,Success,None,
